Label,Vulnerability Name,Package Name,Package Version,Type,Publish Date
M,Cross-site Scripting (XSS),org.webjars.npm:simplemde,"(,)",Maven,"0,Nov,2018"
M,Cross-site Scripting (XSS),rack,"&lt;1.6.11,&gt;&#x3D;2.0.0, &lt;2.0.6",RubyGems,"0,Nov,2018"
M,Cross-site Scripting (XSS),ezsystems/ezpublish-legacy,"&gt;&#x3D;5.3.0, &lt;5.3.12.5,&gt;&#x3D;5.4.0, &lt;5.4.12.2,&gt;&#x3D;2017.12.0, &lt;2017.12.4.2,&gt;&#x3D;2018.6.0, &lt;2018.6.1.3,&gt;&#x3D;2018.9.0, &lt;2018.9.1.2",Composer,"0,Nov,2018"
M,Cross-site Scripting (XSS),loofah,&lt;2.2.3,RubyGems,"3,Oct,2018"
H,Cross-site Scripting (XSS),org.jboss.resteasy:resteasy-core,"[3.11.1.Final, 4.5.3.Final)",Maven,"2,May,2021"
M,Cross-site Scripting (XSS),centreon/centreon,&lt;21.4.0,Composer,"2,May,2021"
H,Cross-site Scripting (XSS),phpoffice/phpspreadsheet,&lt;1.16.0,Composer,"0,Jan,2021"
H,Cross-site Scripting (XSS),limesurvey/limesurvey,&lt;3.21.3,Composer,"0,Jan,2021"
H,Cross-site Scripting (XSS),limesurvey/limesurvey,&lt;3.21.3,Composer,"0,Jan,2021"
H,Cross-site Scripting (XSS),seldon-core,"[,1.2.0)",pip,"0,Jan,2021"
M,Cross-site Scripting (XSS),org.apache.hive:hive-service,"[0, release-2.3.8-rc2)",Maven,"0,Jan,2021"
H,Cross-site Scripting (XSS),vega,&lt;5.17.3,npm,"3,Dec,2020"
H,Cross-site Scripting (XSS),org.webjars.npm:vega,"[0,]",Maven,"3,Dec,2020"
H,Cross-site Scripting (XSS),org.webjars.bowergithub.vega:vega,"[0,5.17.3)",Maven,"3,Dec,2020"
H,Cross-site Scripting (XSS),org.webjars.bower:vega,"[0,]",Maven,"3,Dec,2020"
H,Cross-site Scripting (XSS),magento/core,"&lt;2.3.6,&gt;&#x3D;2.4.0, &lt;2.4.1",Composer,"1,Oct,2020"
C,Cross-site Scripting (XSS),erik-dubbelboer/php-redis-admin,&lt;1.13.2,Composer,"1,Oct,2020"
M,Cross-site Scripting (XSS),bizcharts,&lt;4.0.15,npm,"1,Oct,2020"
M,Cross-site Scripting (XSS),notebook,"[,5.7.7)",pip,"2,Mar,2019"
M,Cross-site Scripting (XSS),snipe/snipe-it,&lt;4.6.14,Composer,"2,Mar,2019"
M,Cross-site Scripting (XSS),drupal/core,"&gt;&#x3D;7.0, &lt;7.65,&gt;&#x3D;8.5, &lt;8.5.14,&gt;&#x3D;8.6, &lt;8.6.13",Composer,"2,Mar,2019"
M,Cross-site Scripting (XSS),league/commonmark,&lt;0.18.3,Composer,"2,Mar,2019"
M,Cross-site Scripting (XSS),magento/community-edition,"&gt;&#x3D;2.1.0, &lt;2.1.18,&gt;&#x3D;2.2.0, &lt;2.2.9,&gt;&#x3D;2.3.0, &lt;2.3.2",Composer,"0,Aug,2019"
M,Cross-site Scripting (XSS),magento/core,&lt;1.9.4.2,Composer,"0,Aug,2019"
M,Cross-site Scripting (XSS),magento/community-edition,"&gt;&#x3D;2.1.0, &lt;2.1.18,&gt;&#x3D;2.2.0, &lt;2.2.9,&gt;&#x3D;2.3.0, &lt;2.3.2",Composer,"0,Aug,2019"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:build-pipeline-plugin,"[0,]",Maven,"0,Aug,2019"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:pegdown-formatter,"[0,]",Maven,"0,Aug,2019"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:jenkinswalldisplay,"[0,]",Maven,"0,Aug,2019"
M,Cross-site Scripting (XSS),gleez/cms,&gt;&#x3D;0.0.0,Composer,"2,Jul,2018"
M,Cross-site Scripting (XSS),org.apache.spark:spark-core_2.11,"[,2.1.3),[2.2.0,2.2.2),[2.3.0,2.3.1)",Maven,"1,Jul,2018"
M,Cross-site Scripting (XSS),org.apache.spark:spark-core_2.10,"[,2.1.3),[2.2.0,2.2.2)",Maven,"1,Jul,2018"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:cppncss,"[,1.2)",Maven,"2,Mar,2018"
M,Cross-site Scripting (XSS),loofah,&lt;2.2.1,RubyGems,"2,Mar,2018"
M,Cross-site Scripting (XSS),bui,*,npm,"2,Mar,2018"
M,Cross-site Scripting (XSS),grandt/relativepath,&gt;&#x3D;0.0.0,Composer,"3,May,2019"
M,Cross-site Scripting (XSS),org.apache.jspwiki:jspwiki-main,"[,2.11.0-M4)",Maven,"3,May,2019"
M,Cross-site Scripting (XSS),org.apache.jspwiki:jspwiki-main,"[,2.11.0-M4)",Maven,"3,May,2019"
M,Cross-site Scripting (XSS),org.apache.jspwiki:jspwiki-main,"[,2.11.0-M4)",Maven,"3,May,2019"
L,Cross-site Scripting (XSS),org.apache.tomcat:tomcat-catalina,"[9.0.0.M1, 9.0.18),[8.5.0, 8.5.40),[7.0.0, 7.0.94)",Maven,"2,May,2019"
L,Cross-site Scripting (XSS),org.apache.tomcat.embed:tomcat-embed-core,"[9.0.0.M1, 9.0.18),[8.5.0, 8.5.40),[7.0.0, 7.0.94)",Maven,"2,May,2019"
M,Cross-site Scripting (XSS),@botpress/channel-web,&lt;12.1.4,npm,"2,Sep,2019"
H,Cross-site Scripting (XSS),org.apache.zeppelin:zeppelin-web,"[,0.8.2)",Maven,"1,Sep,2019"
M,Cross-site Scripting (XSS),ids-enterprise,&lt;4.22.0-beta.0,npm,"1,Sep,2019"
M,Cross-site Scripting (XSS),moodle/moodle,"&gt;&#x3D;3.9.0, &lt;3.9.3",Composer,"2,Nov,2020"
M,Cross-site Scripting (XSS),jquery.json-viewer,&lt;1.3.0,npm,"1,Jul,2019"
M,Cross-site Scripting (XSS),org.webjars.npm:jquery.json-viewer,"[,1.4.0)",Maven,"1,Jul,2019"
M,Cross-site Scripting (XSS),simplesamlphp/simplesamlphp,"&gt;&#x3D;1.12.0, &lt;1.17.3",Composer,"1,Jul,2019"
M,Cross-site Scripting (XSS),vuetify,&lt;2.1.9,npm,"2,Oct,2019"
M,Cross-site Scripting (XSS),org.webjars.npm:vuetify,"(,2.1.9)",Maven,"2,Oct,2019"
M,Cross-site Scripting (XSS),org.webjars.bowergithub.vuetifyjs:vuetify,"[,2.1.9)",Maven,"2,Oct,2019"
M,Cross-site Scripting (XSS),kibana,"&gt;&#x3D;5.3.0 &lt;5.3.3,&gt;&#x3D;5.4.0 &lt;5.4.1",npm,"0,Jan,2018"
M,Cross-site Scripting (XSS),kibana,&lt;5.6.1,npm,"0,Jan,2018"
H,Cross-site Scripting (XSS),marked,&lt;0.3.9,npm,"2,Dec,2017"
M,Cross-site Scripting (XSS),marked,&lt;0.3.9,npm,"2,Dec,2017"
H,Cross-site Scripting (XSS),org.webjars:marked,"[0,]",Maven,"2,Dec,2017"
M,Cross-site Scripting (XSS),org.webjars:marked,"[0,]",Maven,"2,Dec,2017"
H,Cross-site Scripting (XSS),org.webjars.npm:marked,"(,0.3.9)",Maven,"2,Dec,2017"
